time,S1,C
0.0,1.0,1.0
0.01,1.0099504938362045,1.0
0.02,1.0198039027185535,1.0
0.03,1.0295630140987033,1.0
0.04,1.0392304845413267,1.0
0.05,1.04880884817014,1.0
0.06,1.0583005244258243,1.0
0.07,1.067707825203097,1.0
0.08,1.077032961426859,1.0
0.09,1.0862780491199848,1.0
0.1,1.0954451150103137,1.0
0.11,1.1045361017187036,1.0
0.12,1.1135528725658899,1.0
0.13,1.1224972160320568,1.0
0.14,1.1313708498984514,1.0
0.15,1.1401754250992195,1.0
0.16,1.148912529307696,1.0
0.17,1.1575836902790106,1.0
0.18,1.1661903789689103,1.0
0.19,1.174734012446822,1.0
0.2,1.1832159566196607,1.0
0.21,1.191637528781066,1.0
0.22,1.1999999999998125,1.0
0.23,1.2083045973592392,1.0
0.24,1.2165525060594717,1.0
0.25,1.2247448713913647,1.0
0.26,1.232882800593627,1.0
0.27,1.2409673645987018,1.0
0.28,1.2489995996796224,1.0
0.29,1.2569805089974802,1.0
0.3,1.2649110640670544,1.0
0.31,1.272792206135481,1.0
0.32,1.2806248474863893,1.0
0.33,1.288409872672511,1.0
0.34,1.2961481396817036,1.0
0.35,1.3038404810406785,1.0
0.36,1.311487704860443,1.0
0.37,1.319090595827146,1.0
0.38,1.3266499161418095,1.0
0.39,1.3341664064121277,1.0
0.4,1.341640786499305,1.0
0.41,1.3490737563226571,1.0
0.42,1.3564659966245558,1.0
0.43,1.3638181696981517,1.0
0.44,1.3711309200798236,1.0
0.45,1.3784048752086226,1.0
0.46,1.3856406460547503,1.0
0.47,1.3928388277179553,1.0
0.48,1.399999999999769,1.0
0.49,1.4071247279468468,1.0
0.5,1.4142135623729963,1.0
0.51,1.421267040355058,1.0
0.52,1.4282856857083894,1.0
0.53,1.4352700094404258,1.0
0.54,1.4422205101851664,1.0
0.55,1.4491376746184694,1.0
0.56,1.456021977855688,1.0
0.57,1.4628738838325044,1.0
0.58,1.4696938456698043,1.0
0.59,1.4764823060233836,1.0
0.6,1.4832396974192517,1.0
0.61,1.4899664425752353,1.0
0.62,1.496662954709571,1.0
0.63,1.50332963783712,1.0
0.64,1.5099668870537812,1.0
0.65,1.5165750888097589,1.0
0.66,1.523154621172087,1.0
0.67,1.5297058540770736,1.0
0.68,1.536229149572937,1.0
0.69,1.5427248620534046,1.0
0.7,1.5491933384822598,1.0
0.71,1.555634918609776,1.0
0.72,1.5620499351807895,1.0
0.73,1.5684387141352663,1.0
0.74,1.5748015748018322,1.0
0.75,1.5811388300836362,1.0
0.76,1.5874507866383025,1.0
0.77,1.5937377450503443,1.0
0.78,1.5999999999997399,1.0
0.79,1.606237840420417,1.0
0.8,1.612451549659515,1.0
0.81,1.6186414056236238,1.0
0.82,1.6248076809269592,1.0
0.83,1.6309506430297325,1.0
0.84,1.6370705543741113,1.0
0.85,1.6431676725149984,1.0
0.86,1.6492422502464703,1.0
