time,S1,C
0.0,1.0,1.0
0.01,1.0099504938362076,1.0
0.02,1.0198039027185568,1.0
0.03,1.0295630140986987,1.0
0.04,1.0392304845413263,1.0
0.05,1.0488088481701514,1.0
0.06,1.058300524425836,1.0
0.07,1.067707825203131,1.0
0.08,1.0770329614269005,1.0
0.09,1.0862780491200204,1.0
0.1,1.0954451150103308,1.0
0.11,1.1045361017187199,1.0
0.12,1.1135528725660047,1.0
0.13,1.122497216032176,1.0
0.14,1.1313708498984698,1.0
0.15,1.140175425099136,1.0
0.16,1.1489125293076037,1.0
0.17,1.1575836902790204,1.0
0.18,1.1661903789690575,1.0
0.19,1.1747340124470707,1.0
0.2,1.183215956619921,1.0
0.21,1.191637528781295,1.0
0.22,1.1999999999999966,1.0
0.23,1.2083045973594537,1.0
0.24,1.2165525060596434,1.0
0.25,1.2247448713915883,1.0
0.26,1.232882800593792,1.0
0.27,1.2409673645990824,1.0
0.28,1.2489995996796763,1.0
0.29,1.256980508997649,1.0
0.3,1.264911064067347,1.0
0.31,1.2727922061357808,1.0
0.32,1.2806248474865651,1.0
0.33,1.288409872672508,1.0
0.34,1.2961481396815677,1.0
0.35,1.3038404810405284,1.0
0.36,1.3114877048603988,1.0
0.37,1.3190905958272905,1.0
0.38,1.3266499161421583,1.0
0.39,1.334166406412632,1.0
0.4,1.3416407864998723,1.0
0.41,1.3490737563232025,1.0
0.42,1.356465996625052,1.0
0.43,1.363818169698584,1.0
0.44,1.371130920080207,1.0
0.45,1.3784048752090203,1.0
0.46,1.3856406460551,1.0
0.47,1.392838827718408,1.0
0.48,1.3999999999999961,1.0
0.49,1.407124727947025,1.0
0.5,1.4142135623730911,1.0
0.51,1.4212670403551857,1.0
0.52,1.4282856857085662,1.0
0.53,1.4352700094407287,1.0
0.54,1.4422205101855918,1.0
0.55,1.44913767461894,1.0
0.56,1.4560219778560999,1.0
0.57,1.4628738838327726,1.0
0.58,1.4696938456699,1.0
0.59,1.4764823060233332,1.0
0.6,1.4832396974191258,1.0
0.61,1.4899664425751273,1.0
0.62,1.49666295470957,1.0
0.63,1.5033296378372845,1.0
0.64,1.5099668870541436,1.0
